natemis,province,name,region
200500386,EC,KWANTIKA SP SCHOOL,BIZANA
200500393,EC,LALENI JP SCHOOL,KOKSTAD
200500411,EC,LANGALETHU JS SCHOOL,PORT EDWARD
200500410,EC,LINDOKUHLE JS SCHOOL,BIZANA
200500413,EC,LINGELETHU JP SCHOOL,BIZANA
200501463,EC,LITTLE EDEN P SCHOOL,BIZANA
200501402,EC,LONGWENI SP SCHOOL,BIZANA
200500425,EC,LOWER GWALA SP SCHOOL,BIZANA
200501363,EC,LOWER MKHOMANE JP SCHOOL,FLAGSTAFF
200500445,EC,LUCWABA JS SCHOOL,FLAGSTAFF
200500446,EC,LUDEKE JS SCHOOL,BIZANA
200500456,EC,LUGWIJINI JS SCHOOL,BIZANA
200501405,EC,LUKHANYO JP SCHOOL,BIZANA
200500462,EC,LUKHOLO JS SCHOOL,BIZANA
200500464,EC,LUNA JS SCHOOL,BIZANA
200501380,EC,LUNDINI JP SCHOOL,BIZANA
200501384,EC,LUPILISWENI JS SCHOOL,FLAGSTAFF
200500476,EC,LUSINDISWENI JS SCHOOL,BIZANA
200500498,EC,MABUTO JS SCHOOL,BIZANA
200501396,EC,MADADANA JS SCHOOL,MBIZANA
200501410,EC,MADIKIZELA SS SCHOOL,BIZANA
200500506,EC,MAFADOBO SP SCHOOL,KOKSTAD
200500523,EC,MAHAHA JS SCHOOL,BIZANA
200500529,EC,MAJAVU JS SCHOOL,BIZANA
200500530,EC,MAJAZI JS SCHOOL,BIZANA
200500539,EC,MAKOSONKE JS SCHOOL,BIZANA
200500562,EC,MANDLOBE SP SCHOOL,FLAGSTAFF
200500573,EC,MAPAKATI SP SCHOOL,FLAGSTAFF
200500577,EC,MAQONGWANA JS SCHOOL,BIZANA
200500580,EC,MARELANE SS SCHOOL,BIZANA
200500583,EC,MARINA JS SCHOOL,BIZANA
200500598,EC,MATSHEZI JP SCHOOL,FLAGSTAFF
200500601,EC,MATWEBU JS SCHOOL,MBIZANA
200500609,EC,MBABAZO JP SCHOOL,BIZANA
200500615,EC,MBEKWA JS SCHOOL,BIZANA
200500616,EC,MBIBA SP SCHOOL,FLAGSTAFF
200500625,EC,MBONGWENI JS SCHOOL,BIZANA
200500631,EC,MBUNGWA JS SCHOOL,BIZANA
200500638,EC,MDATYA JP SCHOOL,BIZANA
200500639,EC,MDATYA SS SCHOOL,BIZANA
200500640,EC,MDELWA JS SCHOOL,BIZANA
200500643,EC,MDIKISO SP SCHOOL,BIZANA
200500651,EC,MEJE JS SCHOOL,BIZANA
200500657,EC,MFUNDAMBINI JS SCHOOL,FLAGSTAFF
200500660,EC,MFUNELI JS SCHOOL,BIZANA
200500666,EC,MGOMANZI P SCHOOL,BIZANA
200500669,EC,MGWEDE JS SCHOOL,BIZANA
200500672,EC,MHLABI JS SCHOOL,BIZANA
200500673,EC,MHLABUVELILE SP SCHOOL,BIZANA
200500683,EC,MJANYELWA JS SCHOOL,BIZANA
200500905,EC,MKAMBATI JP SCHOOL,KOKSTAD
200500699,EC,MKOMANE JS SCHOOL,BIZANA
200500703,EC,MLAMBONDABA SP SCHOOL,BIZANA
200500705,EC,MLINDAZWE JS SCHOOL,MBIZANA
200500707,EC,MMANGWENI JS SCHOOL,BIZANA
200500712,EC,MNCWATI JS SCHOOL,BIZANA
200500713,EC,MNDELA JS SCHOOL,BIZANA
200500721,EC,MNGUNGU JS SCHOOL,BIZANA
200500737,EC,MONTI JS SCHOOL,BIZANA
200500754,EC,MPENI JS SCHOOL,MOUNT AYLIFF
200500755,EC,MPENKULU SP SCHOOL,BIZANA
200500756,EC,MPETSHWA JS SCHOOL,BIZANA
200500764,EC,MPONDOMBINI SS SCHOOL,REDOUBT
200500769,EC,MPUNZI DRIFT JS SCHOOL,MBIZANA
200500773,EC,MQENI JS SCHOOL,BIZANA
200501448,EC,MQHOKWENI JP SCHOOL,KOKSTAD
200500793,EC,MT ZION JS SCHOOL,BIZANA
200500796,EC,MTAYISA JS SCHOOL,BIZANA
200500824,EC,MZAMBA JS SCHOOL,BIZANA
200501403,EC,MZAMBANA SP SCHOOL,BIZANA
200500844,EC,NCENJANE JP SCHOOL,IZINGOLWENI
200500849,EC,NCURA JS SCHOOL,BIZANA
200500856,EC,NDAYINI JP SCHOOL,FLAGSTAFF
200500860,EC,NDINOMNTU SP SCHOOL,BIZANA
200500862,EC,NDLOVIMILE JS SCHOOL,BIZANA
200500865,EC,NDUNGE JS SCHOOL,BIZANA
200500871,EC,NGALONKULU SS SCHOOL,MBIZANA
200501356,EC,NGCINGO JS SCHOOL,BIZANA
200500879,EC,NGELE JS SCHOOL,BIZANA
200500882,EC,NGOJANE JS SCHOOL,BIZANA
200500889,EC,NGQONGWENI SP SCHOOL,BIZANA
200500915,EC,NKUNDLA JS SCHOOL,BIZANA
200500919,EC,NOBAMBA SP SCHOOL,BIZANA
200500922,EC,NOKATSHILE JS SCHOOL,KOKSTAD
200501457,EC,NOMAGQWATHEKANA COMP TECH SCHOOL,PORT EDWARD
200500296,EC,NOMATHEBE JS SCHOOL,BIZANA
200500935,EC,NONGEKE SS SCHOOL,BIZANA
200500939,EC,NONKQUBELA JS SCHOOL,BIZANA
200500940,EC,NONTLANGA JS SCHOOL,BIZANA
200500954,EC,NTABEZULU SS SCHOOL,BIZANA
200501409,EC,NTAMONDE SP SCHOOL,KOKSTAD
200500960,EC,NTLAKWE JS SCHOOL,BIZANA
200500961,EC,NTLALONTSHA JS SCHOOL,FLAGSTAFF
200500963,EC,NTLAMVUKAZI JS SCHOOL,BIZANA
200500969,EC,NTLOZELO JS SCHOOL,BIZANA
200500971,EC,NTOLA JS SCHOOL,BIZANA
200500975,EC,NTSHANGASE JS SCHOOL,KOKSTAD
200500980,EC,NTSIMBINI JS SCHOOL,BIZANA
200500985,EC,NTUKAYI SS SCHOOL,BIZANA
200500040,EC,NTUNJENI PREPARATORY PRIMARY,MBIZANA
200500998,EC,OLIVER TAMBO TECH HIGH SCHOOL,BIZANA
200501009,EC,PATEKILE JS SCHOOL,PORT EDWARD
200501011,EC,PELE-PELE SP SCHOOL,FLAGSTAFF
200501447,EC,PHAKAMISA P SCHOOL,MBIZANA
200501430,EC,PHANDULWAZI JP SCHOOL,BIZANA
200501025,EC,PLANGENI JS SCHOOL,BIZANA
200501036,EC,QADU JS SCHOOL,MBIZANA
200501041,EC,QANDASHE SP SCHOOL,BIZANA
200501047,EC,QOBO JS SCHOOL,BIZANA
200501053,EC,QUNGEBE SP SCHOOL,BIZANA
200501068,EC,ROCKVILLE JS SCHOOL,FLAGSTAFF
200501090,EC,SHUKUMA SS SCHOOL,BIZANA
200501097,EC,SIDANGA JS SCHOOL,BIZANA
200501359,EC,SIGIDI SP SCHOOL,BIZANA
200501103,EC,SIJADU JP SCHOOL,MBIZANA
200501108,EC,SILANGWE SP SCHOOL,BIZANA
200501123,EC,SITHUKUTHEZI SS SCHOOL,BIZANA
200501141,EC,SOMTSEU SP SCHOOL,BIZANA
200501144,EC,SONTSELE JS SCHOOL,BIZANA
200501442,EC,ST PATRICK'S JP SCHOOL,BIZANA
200501592,EC,St Theresa Primary School,Bizana
200501168,EC,STANFORD JP SCHOOL,PORT EDWARD
200501440,EC,SUPERKIDS P SCHOOL,BIZANA
200501174,EC,SWANE JS SCHOOL,FLAGSTAFF
200501175,EC,SWANE RIDGE SP SCHOOL,FLAGSTAFF
200501179,EC,TANDABANTU SP SCHOOL,BIZANA
200501600,EC,Themba Mzize j p s,MBIZANA
200501195,EC,THEMBALESIZWE COMP TECH SS SCHOOL,PORT EDWARD
200501215,EC,TOKOZANI P SCHOOL,BIZANA
200501222,EC,TOPOZO JS SCHOOL,BIZANA
200501224,EC,TSAWANA JS SCHOOL,BIZANA
200501271,EC,VAYI JS SCHOOL,BIZANA
200501278,EC,VUKAYIBAMBE SS SCHOOL,FLAGSTAFF
200501282,EC,VULINDLELA COMPREHENSIVE TECHNICAL HIGH SCHOOL,PORT EDWARD
200501289,EC,VUYISILE JS SCHOOL,REDOUBT
200501293,EC,WINNIE MANDELA COMP TECH SS SCHOOL,PORT EDWARD
200501296,EC,XOLOBENI JS SCHOOL,BIZANA
200501300,EC,YANGE JP SCHOOL,KOKSTAD
200501306,EC,ZAMILIZWE JP SCHOOL,BIZANA
200501308,EC,ZAMOKUHLE JS SCHOOL,BIZANA
200501317,EC,ZANOKHANYO JP SCHOOL,FLAGSTAFF
200501329,EC,ZININI JS SCHOOL,BIZANA
200501564,EC,ADVENT COMPREHENSIVE SCHOOL,MALUTI
200500004,EC,ANTIOCH JS SCHOOL,MOUNT FRERE
200500005,EC,ARTHUR NGUNGA SS SCHOOL,MOUNT AYLIFF
200500006,EC,AZARIEL JS SCHOOL,MATATIELE
200500009,EC,BAGQOZINI JS SCHOOL,TABANKULU
200500011,EC,BAKUBA JS SCHOOL,NTABANKULU
200500014,EC,BALETYENI SP SCHOOL,MOUNT FRERE
200500018,EC,BAPHATHE SP SCHOOL,MOUNT FRERE
200500019,EC,BARKERVILLE JS SCHOOL,MOUNT FRERE
200500021,EC,BAVUMILE JP SCHOOL,MATATIELE
200500025,EC,BELFORT JP SCHOOL,MATATIELE
200501571,EC,BERGVIEW JP,MATATIELE
200500028,EC,BETHANY JS SCHOOL,MOUNT FRERE
200500029,EC,BETHEL JS SCHOOL,MALUTI
200500030,EC,BETHEL JS SCHOOL,MOUNT FRERE
200500031,EC,BETHESDA JS SCHOOL,MATATIELE
200500032,EC,BETHLEHEM SP SCHOOL,MOUNT FRERE
200500033,EC,BETSHWANA JS SCHOOL,MOUNT FRERE
200500034,EC,BHAYI SP SCHOOL,MOUNT FRERE
200500042,EC,BLACK DIAMOND JS SCHOOL,MATATIELE
200500044,EC,BLORWENI JS SCHOOL,TABANKULU
200501588,EC,BOKAMOSO PRIMARY SCHOOL,MATATIELE
200500050,EC,BOMVINI JS SCHOOL,TABANKULU
200500094,EC,BONXA HIGH SCHOOL,NTABANKULU
200500056,EC,BONXA JS SCHOOL,NTABANKULU
200501417,EC,BROOKSNEK JS SCHOOL,MOUNT AYLIFF
200500060,EC,BROOKSNEK SS SCHOOL,MOUNT AYLIFF
200500061,EC,BUBESI JS SCHOOL,MATATIELE
200500062,EC,BUFFALO NEK JS SCHOOL,MOUNT FRERE
200500063,EC,BUHLAMBO JS SCHOOL,MFUNDISWENI
200501572,EC,BULTFONTEIN GI P,KOKSTAD
200500069,EC,BUNTSHENTSHE P SCHOOL,TABANKULU
200500074,EC,CABA JS SCHOOL,NTABANKULU
200500073,EC,CABA PRIMARY SCHOOL,
200500075,EC,CABANE JS SCHOOL,MOUNT FRERE
200500076,EC,CABAZANA JS SCHOOL,MOUNT AYLIFF
200500077,EC,CABAZI JS SCHOOL,MOUNT FRERE
200500078,EC,CACADU JS SCHOOL,TABANKULU
200500079,EC,CAIPHUS KHOAPA JS SCHOOL,MATATIELE
200500082,EC,CANCELE JS SCHOOL,MOUNT FRERE
200500083,EC,CANCELE SS SCHOOL,
200500084,EC,CANDULWANDLE P SCHOOL,MOUNT FRERE
200501573,EC,CEDARVILLE GI P,CEDARVILLE
200501574,EC,CEDARVILLE PUBLIC,CEDARVILLE
200500086,EC,CEDERVILLE JS SCHOOL,MOUNT FRERE
200500087,EC,CELINKUNGU JS SCHOOL,KOKSTAD
200500088,EC,CETSHE JS SCHOOL,LUSIKISIKI
200500092,EC,CIBINI JS SCHOOL,MATATIELE
200500096,EC,COLA JS SCHOOL,TABANKULU
200500097,EC,COLANA JS SCHOOL,MOUNT FRERE
200500098,EC,COLANA SS SCHOOL,MOUNT FRERE
200500099,EC,COLWANA SPRINGS JS SCHOOL,MOUNT FRERE
200500104,EC,CWALINKUNGU JS SCHOOL,MOUNT FRERE
200500105,EC,CWEBENI JS SCHOOL,MOUNT FRERE
200500107,EC,DABULA JS SCHOOL,MOUNT FRERE
200500108,EC,DABULAMANZI SP SCHOOL,TABANKULU
200500110,EC,DAKHILE JS SCHOOL,FLAGSTAFF
200500112,EC,DALINDYEBO SP SCHOOL,TABANKULU
200500113,EC,DALUHLANGA SS SCHOOL,KOKSTAD
200501414,EC,DALUXOLO JP SCHOOL,TABANKULU
200500114,EC,DAMANE SP SCHOOL,MATATIELE
200500115,EC,DAMBA JS SCHOOL,NTABANKULU
200500116,EC,DAMBENI SP SCHOOL,TABANKULU
200500118,EC,DANGWANA JS SCHOOL,MOUNT FRERE
200500119,EC,DANGWANA SS SCHOOL,MOUNT FRERE
200500120,EC,DEDELO JS SCHOOL,MOUNT AYLIFF
200500129,EC,DINGEZWENI JS SCHOOL,MOUNT FRERE
200500130,EC,DINWAYO JS SCHOOL,TABANKULU
200500132,EC,DLEPU JP SCHOOL,FLAGSTAFF
200500137,EC,DUBA JP SCHOOL,MATATIELE
200500140,EC,DUMAKUDE JP SCHOOL,NTABANKULU
200500141,EC,DUMELA JS SCHOOL,TABANKULU
200500144,EC,DUMEZWENI SS SCHOOL,TABANKULU
200500148,EC,DUMISA JP SCHOOL,MOUNT AYLIFF
200500149,EC,DUMSI JS SCHOOL,MOUNT FRERE
200500151,EC,DUMSI SS SCHOOL,MOUNT FRERE
200500152,EC,DUNGU JS SCHOOL,MOUNT FRERE
200500153,EC,DUTYINI JS SCHOOL,MOUNT FRERE
200501576,EC,EDU-KID-PRE & JR,
200500164,EC,EDWARD'S HOPE JS SCHOOL,MATATIELE
200501340,EC,ELLIOT NDABANKULU MAKAULA PRIMARY SCHOOL,MOUNT FRERE
200500169,EC,ELUKHANYISWENI SP SCHOOL,MOUNT FRERE
200500170,EC,ELUKHOLWENI JS SCHOOL,MATATIELE
200500172,EC,ELUNCEDWENI JP SCHOOL,MOUNT AYLIFF
200500181,EC,EMAXHEGWINI JS SCHOOL,MOUNT FRERE
200500182,EC,EMAZIZINI SP SCHOOL,MATATIELE
200500185,EC,EMBIZENI JS SCHOOL,MATATIELE
200500193,EC,EMITSHATSHANENI JS SCHOOL,MATATIELE
200500194,EC,EMPENDLA JS SCHOOL,MOUNT FRERE
200500197,EC,EMTHONJENI SP SCHOOL,MOUNT FRERE
200500210,EC,ESIFOLWENI JS SCHOOL,MATATIELE
200500219,EC,ESSEK JS SCHOOL,MOUNT FRERE
200500223,EC,ETYENI JS SCHOOL,MOUNT FRERE
200500228,EC,FAIRVIEW JS SCHOOL,MOUNT FRERE
200500232,EC,FIKENI JS SCHOOL,MOUNT AYLIFF
200500236,EC,FOBANE JS SCHOOL,MOUNT FLETCHER
200501589,EC,FOCUSED,Matatiele
200500240,EC,GABENI SP SCHOOL,TABANKULU
200500242,EC,GALILEE JS SCHOOL,MOUNT FRERE
200500704,EC,GCINISIZWE JS SCHOOL,MOUNT FRERE
200500246,EC,GCINISIZWE P SCHOOL,TABANKULU
200500254,EC,GILLESPIE JS SCHOOL,MOUNT AYLIFF
200500260,EC,GOBA JS SCHOOL,MOUNT AYLIFF
200500261,EC,GOBINTSASA JP SCHOOL,NTABANKULU
200500262,EC,GOGELA JS SCHOOL,KOKSTAD
200500265,EC,GOVALELE NOMAKE JS SCHOOL,KOKSTAD
200500271,EC,GUBUZI JS SCHOOL,MOUNT FRERE
200500272,EC,GUDLINTABA JP SCHOOL,MATATIELE
200500274,EC,GUGU SP SCHOOL,MATATIELE
200500276,EC,GUGWINI JS SCHOOL,MOUNT AYLIFF
200500281,EC,GWADANE JS SCHOOL,MATATIELE
200501373,EC,GWEBINDLALA SS SCHOOL,FLAGSTAFF
200500285,EC,GXAKU JS SCHOOL,MOUNT FLETCHER
200500286,EC,GXWALENI JS SCHOOL,KOKSTAD
200500288,EC,HARDENBERG JS SCHOOL,MATATIELE
200500289,EC,HEBRON JS SCHOOL,MATATIELE
200500301,EC,HLANE JS SCHOOL,MOUNT FRERE
200500302,EC,HLANGWINI SS SCHOOL,MATATIELE
200500303,EC,HLANKOMO JS SCHOOL,TABANKULU
200500304,EC,HLOMENDLINI JS SCHOOL,MATATIELE
200500306,EC,HOHOBENG JP SCHOOL,MATATIELE
200500312,EC,HOTOLO JS SCHOOL,MATATIELE
200500313,EC,HUKU SS SCHOOL,MOUNT FRERE
200500317,EC,IKAHENG JS SCHOOL,MATATIELE
200500058,EC,IKHWEZI LOMSO EDUCARE CENTRE,MOUNT FRERE
200500319,EC,ILITHA JS SCHOOL,MOUNT FRERE
200500324,EC,ISILINDINI JS SCHOOL,MOUNT FRERE
200500326,EC,IXOPO JS SCHOOL,MOUNT FRERE
200500329,EC,JAKUJA JS SCHOOL,MOUNT AYLIFF
200500335,EC,JILIZA P SCHOOL,NTABANKULU
200500338,EC,JOJO SS SCHOOL,MOUNT AYLIFF
200500339,EC,JOLOBE JS SCHOOL,MOUNT FRERE
200501579,EC,KENNERSLEY P,CEDARVILLE
200500352,EC,KGAOLA JP SCHOOL,MATATIELE
200501362,EC,KHANYA JP SCHOOL,MATATIELE
200501580,EC,KHANYA-NALEDI C,MATATIELE
200500356,EC,KHASHULE JS SCHOOL,MATATIELE
200500351,EC,KHETANI JS SCHOOL,LUSIKISIKI
200500357,EC,KHOARAI SP SCHOOL,MATATIELE
200500554,EC,KHULANGOPHONDO SENIOR SECONDARY SCHOOL,
200501581,EC,KING EDWARD H,MATATIELE
200500371,EC,KUTLOANONG SP SCHOOL,MATATIELE
200500372,EC,KUYASA SP SCHOOL,MOUNT FRERE
200500213,EC,KwaSHUSHU SENIOR SECONDARY SCHOOL,
200501091,EC,LA-GRANGE SS SCHOOL,MATATIELE
200500392,EC,LALATSHE JP SCHOOL,TABANKULU
200500394,EC,LAMEKA JS SCHOOL,MATATIELE
200500397,EC,LEKHAHLA JS SCHOOL,MATATIELE
200500398,EC,LEKHALONG JS SCHOOL,MATATIELE
200500399,EC,LEKOENTLANENG P SCHOOL,MATATIELE
200500402,EC,LENKOE JP SCHOOL,MATATIELE
200500403,EC,LEPHEANA SP SCHOOL,MATATIELE
200500405,EC,LERATO SP SCHOOL,MATATIELE
200500406,EC,LIHASENG JS SCHOOL,MATATIELE
200500407,EC,LIKAMORENG JP SCHOOL,MATATIELE
200500408,EC,LIKHETLANE JS SCHOOL,MATATIELE
200500409,EC,LIKHOHLONG SP SCHOOL,MATATIELE
200501458,EC,LINDELANI SS SCHOOL,MOUNT AYLIFF
200500414,EC,LINGELIHLE JUNIOR PRIMARY SCHOOL,
200500415,EC,LINOTSING JS SCHOOL,MOUNT FLETCHER
200500418,EC,LOCKSON SP SCHOOL,MOUNT AYLIFF
200500419,EC,LOKWE JS SCHOOL,MOUNT AYLIFF
200500423,EC,LOWER BROOKSNEK JS SCHOOL,MOUNT AYLIFF
200500424,EC,LOWER EMTUMASI P SCHOOL,MATATIELE
200500426,EC,LOWER MKEMANE JS SCHOOL,MOUNT FRERE
200500427,EC,LOWER MNCEBA JS SCHOOL,TABANKULU
200500428,EC,LOWER MNYAMANA JS SCHOOL,MATATIELE
200500429,EC,LOWER MT HOREB SP SCHOOL,MOUNT FRERE
200500430,EC,LOWER MVENYANE JS SCHOOL,MOUNT FRERE
200500435,EC,LOWER ROLWENI JS SCHOOL,MATATIELE
200500438,EC,LOYISO SS SCHOOL,MOUNT FRERE
200500440,EC,LUBALASI SENIOR PRIMARY SCHOOL,
200500441,EC,LUBALEKO JS SCHOOL,MOUNT AYLIFF
200500444,EC,LUCINGWENI SP SCHOOL,MOUNT FRERE
200500447,EC,LUDEKE JS SCHOOL,TABANKULU
200500449,EC,LUDIDI SS SCHOOL,MATATIELE
200500451,EC,LUFAFA P SCHOOL,TABANKULU
200500452,EC,LUFEFENI JS SCHOOL,MATATIELE
200500453,EC,LUGADA JS SCHOOL,MATATIELE
200500454,EC,LUGALAKAXA SP SCHOOL,TABANKULU
200500455,EC,LUGELWENI JS SCHOOL,MOUNT AYLIFF
200500457,EC,LUHLEKWENI JS SCHOOL,MATATIELE
200500466,EC,LUNDZWANA JS SCHOOL,LUSIKISIKI
200500470,EC,LUPINDO SS SCHOOL,MATATIELE
200500472,EC,LUQOLWENI SP SCHOOL,MOUNT FRERE
200500477,EC,LUSIZINI JS SCHOOL,MOUNT FRERE
200500478,EC,LUTATENI JS SCHOOL,MOUNT FRERE
200500479,EC,LUTATENI SS SCHOOL,MOUNT FRERE
200500480,EC,LUTHAMBEKO SP SCHOOL,MOUNT FRERE
200501366,EC,LUTSHIKINI JS SCHOOL,MOUNT FRERE
200500485,EC,LUXWESA JS SCHOOL,MOUNT AYLIFF
200500490,EC,LWANDLANA JS SCHOOL,MOUNT FRERE
200500493,EC,MABHELENI SP SCHOOL,CEDARVILLE
200500495,EC,MABOBO JS SCHOOL,MOUNT FRERE
200500496,EC,MABOFU JS SCHOOL,FLAGSTAFF
200500497,EC,MABUDU JS SCHOOL,TABANKULU
200500499,EC,MADADIYELA JS SCHOOL,MOUNT AYLIFF
200500500,EC,MADLALISA SP SCHOOL,MOUNT FRERE
200500502,EC,MADLANGENI SP SCHOOL,MOUNT FRERE
200500503,EC,MADUBA SP SCHOOL,MATATIELE
200500504,EC,MADWAKAZANA JS SCHOOL,TABANKULU
200500507,EC,MAFIKALISIU JS SCHOOL,MATATIELE
200500508,EC,MAFU JP SCHOOL,TABANKULU
200500509,EC,MAFUBE JS SCHOOL,MATATIELE
200500511,EC,MAGADLA JS SCHOOL,MATATIELE
200500512,EC,MAGADLA SS SCHOOL,MATATIELE
200500514,EC,MAGEMA JP SCHOOL,MATATIELE
200500516,EC,MAGONTSINI JP SCHOOL,MOUNT AYLIFF
200500521,EC,MAGXENI JS SCHOOL,MOUNT FRERE
200500522,EC,MAGXENI JS SCHOOL,MATATIELE
200500524,EC,MAHAMANE JS SCHOOL,MOUNT FRERE
200500526,EC,MAHLAKE JS SCHOOL,MATATIELE
200500527,EC,MAHLUBI JS SCHOOL,MATATIELE
200500531,EC,MAJUBA JS SCHOOL,MOUNT FRERE
200500532,EC,MAKANDA JS SCHOOL,MOUNT FRERE
200500534,EC,MAKAULA SS SCHOOL,MOUNT FRERE
200500535,EC,MAKHAOLA JS SCHOOL,MATATIELE
200500536,EC,MAKHOBA JS SCHOOL,MATATIELE
200500537,EC,MAKHOSINI P SCHOOL,TABANKULU
200500548,EC,MALIWA JP SCHOOL,KOKSTAD
200500549,EC,MALONGWE JP SCHOOL,MOUNT FRERE
200500550,EC,MALUBALUBE JS SCHOOL,MATATIELE
200500552,EC,MALUTI JS SCHOOL,MATATIELE
200500551,EC,MALUTI SS SCHOOL,MATATIELE
200500558,EC,MANALENI JS SCHOOL,MOUNT FRERE
200500559,EC,MANASE JS SCHOOL,MATATIELE
200500560,EC,MANDILENI JS SCHOOL,MOUNT FRERE
200500565,EC,MANGO JS SCHOOL,MATATIELE
200500567,EC,MANGOLONG JS SCHOOL,MOUNT FLETCHER
200500568,EC,MANGUZELA JS SCHOOL,MATATIELE
200500570,EC,MANQILWENI JS SCHOOL,MOUNT FRERE
200501408,EC,MANZAMNYAMA SS SCHOOL,MOUNT FRERE
200500571,EC,MANZANA JS SCHOOL,MOUNT AYLIFF
200500572,EC,MAPAKAMA JS SCHOOL,MOUNT FRERE
